load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
40135_sd841_sl12_pd169_pl10_sv7_bp11_ba620_bp49,156.71,14.59,52.24,210.74,150.65,195.91
40136_sd727_sl9_pd103_pl10_sv15_bp11_ba690_bp57,450.49,22.98,61.45,417.64,615.31,591.86
40137_sd769_sl11_pd165_pl10_sv10_bp10_ba750_bp56,187.23,16.82,54.3,235.37,198.17,258.71
40138_sd741_sl7_pd185_pl13_sv5_bp12_ba560_bp55,137.7,12.58,40.21,169.23,133.59,138.85
40139_sd699_sl8_pd177_pl8_sv9_bp12_ba680_bp45,193.62,15.25,50.78,216.92,199.2,227.99
40140_sd694_sl9_pd141_pl10_sv7_bp13_ba680_bp56,166.05,13.98,49.13,202.99,146.27,167.89
40141_sd689_sl12_pd204_pl9_sv7_bp12_ba570_bp58,140.61,13.13,39.59,174.94,141.13,142.1
40142_sd726_sl7_pd212_pl10_sv6_bp11_ba790_bp68,185.94,14.8,53.37,235.65,172.48,185.97
40143_sd864_sl10_pd159_pl9_sv10_bp12_ba490_bp65,143.03,13.62,40.97,159.51,152.88,211.81
40144_sd785_sl9_pd116_pl13_sv8_bp11_ba840_bp55,204.47,19.3,66.26,317.91,192.91,313.5
40145_sd884_sl12_pd237_pl13_sv5_bp12_ba770_bp56,185.88,16.44,56.35,246.73,174.97,209.84
40146_sd812_sl7_pd173_pl4_sv8_bp11_ba740_bp62,221.48,15.6,60.36,289.89,237.07,269.46
40147_sd732_sl12_pd253_pl11_sv6_bp13_ba700_bp60,169.62,14.87,50.12,210.25,166.1,162.1
40148_sd860_sl10_pd186_pl9_sv3_bp11_ba700_bp49,161.87,14.56,50.39,202.43,144.28,134.65
40149_sd854_sl8_pd225_pl13_sv8_bp14_ba570_bp71,201.32,16.06,47.97,222.44,254.34,190.27
40150_sd765_sl9_pd272_pl14_sv8_bp10_ba590_bp50,144.37,15.95,53.61,252.74,154.4,207.86
40151_sd875_sl11_pd159_pl7_sv8_bp11_ba490_bp48,167.43,14.09,46.27,215.23,210.26,216.67
40152_sd807_sl5_pd212_pl12_sv7_bp13_ba720_bp57,189.37,15.01,50.93,216.05,201.94,183.79
40153_sd709_sl11_pd226_pl12_sv9_bp11_ba820_bp69,202.87,17.3,58.62,299.0,188.4,268.73
40154_sd809_sl10_pd265_pl10_sv9_bp13_ba610_bp68,145.99,14.91,47.1,178.46,155.07,183.26
40155_sd712_sl9_pd228_pl9_sv5_bp12_ba630_bp67,149.11,12.95,45.86,190.35,146.52,155.79
40156_sd773_sl7_pd130_pl12_sv7_bp12_ba550_bp34,141.5,12.79,41.07,169.76,139.81,155.82
40157_sd693_sl12_pd186_pl11_sv11_bp11_ba790_bp70,185.35,17.76,57.84,258.75,192.02,243.4
40158_sd695_sl11_pd226_pl11_sv7_bp12_ba580_bp75,135.9,13.22,41.39,171.57,135.41,152.21
40159_sd771_sl9_pd179_pl12_sv8_bp12_ba590_bp60,148.8,16.86,59.1,289.34,157.05,268.94
40160_sd756_sl9_pd179_pl13_sv8_bp12_ba920_bp73,216.55,19.89,68.77,374.9,218.06,342.33
40161_sd811_sl10_pd275_pl9_sv12_bp12_ba800_bp62,223.85,17.87,61.39,256.42,262.49,362.76
40162_sd683_sl9_pd151_pl9_sv7_bp12_ba810_bp65,186.43,15.6,55.35,249.2,177.8,213.95
40163_sd769_sl12_pd170_pl10_sv7_bp13_ba690_bp76,168.74,14.97,51.15,216.78,169.65,154.53
40164_sd704_sl6_pd160_pl11_sv12_bp12_ba840_bp59,280.63,21.0,56.23,298.92,335.76,402.77
40165_sd909_sl12_pd201_pl11_sv9_bp12_ba770_bp64,198.18,18.13,62.22,279.41,211.35,259.31
40166_sd684_sl9_pd264_pl9_sv7_bp12_ba760_bp57,178.4,14.85,53.28,243.19,177.05,187.19
40167_sd723_sl7_pd219_pl8_sv8_bp10_ba620_bp48,164.81,13.7,48.33,222.16,170.3,179.29
40168_sd637_sl14_pd150_pl12_sv13_bp12_ba610_bp58,178.38,16.07,53.06,224.29,215.28,318.76
40169_sd794_sl8_pd256_pl8_sv7_bp12_ba650_bp66,170.45,15.37,44.29,191.74,169.0,177.28
40170_sd701_sl11_pd236_pl9_sv12_bp10_ba840_bp61,201.88,17.89,65.41,291.62,227.69,347.43
40171_sd739_sl13_pd255_pl10_sv3_bp10_ba640_bp69,147.78,13.77,47.92,194.62,129.02,147.96
40172_sd667_sl10_pd159_pl13_sv8_bp13_ba860_bp57,203.73,18.83,64.72,321.14,199.7,291.0
40173_sd860_sl11_pd175_pl8_sv7_bp11_ba720_bp56,179.84,15.74,53.68,232.39,168.42,209.07
40174_sd925_sl12_pd194_pl11_sv7_bp12_ba880_bp61,215.14,18.1,64.69,277.79,226.04,221.7
40175_sd703_sl13_pd216_pl13_sv10_bp13_ba680_bp56,186.76,15.44,55.2,241.69,194.27,240.78
40176_sd872_sl9_pd263_pl10_sv8_bp12_ba680_bp63,175.22,14.78,53.28,236.84,179.63,206.58
40177_sd794_sl9_pd255_pl8_sv8_bp10_ba590_bp48,148.64,14.49,46.6,189.29,150.58,163.18
40178_sd720_sl8_pd208_pl12_sv10_bp13_ba680_bp66,189.5,14.72,51.6,206.59,207.22,231.61
40179_sd779_sl9_pd218_pl6_sv5_bp13_ba810_bp41,188.52,15.37,55.2,223.3,175.34,185.33
40180_sd835_sl10_pd187_pl6_sv8_bp13_ba600_bp63,156.75,15.55,53.82,213.71,146.22,230.23
40181_sd725_sl15_pd156_pl10_sv9_bp15_ba560_bp54,147.22,15.49,47.8,206.57,161.13,183.79
40182_sd767_sl11_pd191_pl8_sv7_bp12_ba550_bp54,137.91,13.01,41.23,171.28,133.23,152.87
40183_sd808_sl9_pd162_pl7_sv9_bp12_ba600_bp61,185.42,16.48,60.07,284.96,192.74,271.5
40184_sd800_sl8_pd305_pl11_sv8_bp12_ba600_bp64,185.19,14.57,49.84,217.25,212.58,227.42
40185_sd727_sl7_pd260_pl10_sv7_bp13_ba400_bp68,123.72,11.58,28.31,134.85,146.67,132.04
40186_sd693_sl7_pd171_pl7_sv11_bp10_ba620_bp73,253.29,17.57,51.45,261.29,327.71,310.24
40187_sd677_sl9_pd197_pl14_sv7_bp10_ba720_bp81,176.96,15.66,52.44,228.06,175.8,171.78
40188_sd675_sl11_pd238_pl11_sv4_bp10_ba660_bp75,155.13,13.73,48.1,194.02,139.15,143.7
