,out_oopDisp_mm_n2,out_oopDisp_mm_n5,out_endBend_kNm_n6
10165,0.25586323820288215,0.18814457227046177,0.12801141337829516
8806,0.2626212677780918,0.17806651829096265,0.22643558898868396
7481,0.40204389187152667,0.3075138710385254,0.2695437891118966
35077,0.2552274653857022,0.15971286166577847,0.21409811614409394
10132,0.21470283507582175,0.1201843202407448,0.161295029344055
27375,0.22209663746821137,0.13596752452901162,0.34921046658668664
27361,0.19652444193274934,0.1568289395316761,0.25234266074381506
37920,0.255769049637374,0.15015203285163475,0.1405434324438248
20762,0.2789158896110012,0.22477351807153384,0.17938782789144322
11443,0.39943015917867564,0.2741763581078963,0.3010116403488863
25286,0.15079589337854385,0.08305382276417667,0.07219286015369153
2950,0.2970471884713195,0.21251684900159867,0.3499075905450537
24571,0.2879579918997833,0.17057459013824017,0.22123147757854808
42797,0.3522652350004709,0.2158239553619009,0.30457832106611327
13544,0.14474427804464537,0.08316353719319144,0.12797898900813856
7691,0.14069416972779505,0.09117269051126925,0.12549852469115794
14969,0.2569935009889799,0.185981630669885,0.21484387665769597
35733,0.25084769708957333,0.16933638443935928,0.23082909114490455
49438,0.34908637091457095,0.23518071533807716,0.2650530138452061
44365,0.670128096449091,0.6173630920660794,0.6050225349372589
45353,0.32090044268625795,0.24337795053446598,0.331895852923057
34253,0.20368277291136858,0.14587317012005896,0.18149541195162286
18614,0.1716351134972214,0.08861791166421118,0.08952368600239943
26245,0.3582462089102383,0.226278173098022,0.33596511137771157
28193,0.22256758029575205,0.13671985204225573,0.1130313543659415
38809,0.25525101252707916,0.15513620262687694,0.14190525599040246
3628,0.2246632758783084,0.13682956647127048,0.17411886774099414
27986,0.16645474239427335,0.10883671358264635,0.10259070717551316
40272,0.3007440896675143,0.18493150684931509,0.26669044453811486
42668,0.2492700386173118,0.150167706341494,0.20200382607567854
43756,0.24001601205613635,0.15773800194351273,0.13704160046691097
19436,0.3162381086936046,0.20300304065703267,0.1467689115138939
48684,0.20438918715267965,0.14347512617159336,0.16777990337537693
39602,0.11646416125082418,0.08076549324472587,0.1498654388638501
18343,0.32386738249976454,0.19408482492711826,0.21852404267047118
26864,0.22193180747857214,0.13193943763518384,0.17507538666061415
13673,0.1832438541961006,0.15171938183755995,0.1327615836062385
32449,0.2253225958368654,0.12554465377260904,0.14686618462436365
30859,0.1851040783648865,0.11027867464969751,0.13316688823319608
7200,0.2138786851276255,0.16808250525061907,0.2597516293246004
33233,0.2188000376754262,0.14433716811385222,0.18376511786258556
9662,0.28536780634830927,0.1880191843515877,0.22812165623682765
6832,0.23090326834322314,0.1434594526817341,0.12937323692487276
22903,0.2514599227653763,0.18231403404281998,0.2401997341201648
8618,0.19607704624658565,0.11900880850130088,0.21576797120715932
34926,0.26982669303946505,0.19485282593022163,0.25475827632048254
23916,0.2006216445323538,0.1106705118961788,0.19512985960247728
5995,0.1900018837713102,0.1376916084135294,0.2275866541292436
9841,0.27813883394555905,0.19897495376320495,0.16878505885023184
12820,0.21371385513798627,0.1376916084135294,0.16051684446029638
11933,0.19581802769143827,0.12762922792388953,0.14141889043805325
19563,0.30557125364980686,0.2576878467759632,0.2607567847994553
44838,0.3472496938871621,0.21204664430582115,0.19453000875457996
7445,0.32831779222002444,0.21093382652581422,0.2366330534029377
7824,0.15117264764057645,0.09175260963606158,0.09586265036801664
22701,0.3205236884242253,0.2580640105325852,0.3282643234655167
29931,0.1983846661015353,0.12085828030469264,0.1648292856911255
9038,0.293515117264764,0.17405410488699413,0.20876430725333164
20173,0.24799849298295187,0.1757625152816526,0.25407736454719376
37475,0.05618347932560985,0.04965361587411052,0.050792775850329125
32814,0.3399265329189036,0.20704680104071976,0.24315035180441627
28154,0.17227088631440143,0.10013792671076144,0.11583606238448821
10572,0.2368842422529905,0.12117175010187767,0.11770046366849327
41095,0.31018649335970616,0.19971160778658975,0.21247689763626346
47331,0.24281812188000382,0.142644431209053,0.11964592587788983
21098,0.24451351605915042,0.2055578195040908,0.18014980059012356
11828,0.19146180653668646,0.1459515375693552,0.16995233617586983
1337,0.22431006875765283,0.14617096642738475,0.26489089199442306
17928,0.20589620420081003,0.15635873483589857,0.21255795856165496
24324,0.15183196759913345,0.09255195761888343,0.11158846989397234
25119,0.22918432702269945,0.15726779724773515,0.19203333225252103
32953,0.22617029292643873,0.1377856493526849,0.13798190720145262
33634,0.2510125270792126,0.157690981473935,0.1301189974384748
13215,0.2731939342563813,0.18491583335945583,0.30965273499562274
10784,0.3007676368088914,0.17889721325350305,0.16179760708148247
33795,0.25765282094753694,0.15613930597786901,0.25584449272072896
28625,0.23139775831214085,0.17001034450330715,0.18937453389967904
38975,0.3544786662899123,0.22717156201999938,0.20080412437988396
43080,0.26269190920222285,0.15996363750352655,0.20232806977724463
33267,0.35127625506263527,0.22878593147550236,0.3343601050549594
10739,0.271781105773759,0.22193661640700918,0.27734185013456114
8336,0.31230573608363943,0.24245321463277014,0.17170325216432678
24202,0.2977536027126306,0.18830130716905424,0.2156058493563763
5346,0.3051944993877743,0.23319018212595216,0.19183878603158136
30053,0.2908307431477819,0.16535531801510922,0.17390810933497622
34287,0.2241923330507676,0.16135857810099996,0.2803411043740476
35450,0.16261655834981634,0.11059214444688253,0.19049317467008212
8842,0.2663652632570406,0.21010313156327387,0.29720177685548455
8237,0.13906941697277955,0.08259929155825838,0.11235044259265264
22382,0.3374069887915606,0.26922353531237264,0.350507441392951
36158,0.3379956673259866,0.28083759129807845,0.2840699069420577
40307,0.27116888009795614,0.19958621986771574,0.17835024804643176
7012,0.18446830554770652,0.10958904109589043,0.07553257027982233
34846,0.21609211641706697,0.13178270273659135,0.2533640284037483
4681,0.18098332862390507,0.14383561643835618,0.3036704387017283
6713,0.17036356786286147,0.11777060280242,0.1504166531565125
5697,0.2702034473014976,0.15551236638349897,0.2327421289841445
46849,0.24164076481115196,0.18524497664650014,0.1857916409973737
8568,0.34699067533201466,0.2502586125826777,0.27747154761518755
5052,0.21868230196854102,0.1322215604526504,0.15636652508025037
24686,0.2300555712536498,0.16422682674524308,0.16205700204273535
9932,0.38899877554864837,0.25765649979624466,0.31333290100839795
29928,0.2038476029010078,0.1614682925300147,0.18809377127849294
