case_ref,out_oopDisp_mm_n2,out_oopDisp_mm_n5,out_endBend_kNm_n6
43080,0.0877376521491987,-0.2555298321272352,-0.173648754706053
33267,1.300279025114473,0.7329394186663731,1.2048529567536883
10739,0.2121504564991706,0.6345652299629326,0.6095446906431887
8336,0.7668510686398509,0.9292375709533296,-0.493392091266398
24202,0.56766165649404,0.15147367628425287,-0.035019960294765194
5346,0.6695125533194058,0.7961960480157243,-0.28316380963169796
30053,0.4729016448906932,-0.17809111150027074,-0.4703719251614713
34287,-0.43924404503267994,-0.2354948142906074,0.6408588871829789
35450,-1.2820924475590465,-0.9646343960078693,-0.2972128815927928
8842,0.1380184746326073,0.46460524719154234,0.8168954515147726
8237,-1.6044054121962807,-1.3666854281001903,-1.1130746508997618
22382,1.1104366889431425,1.3137298233686063,1.3734418202868293
36158,1.1184945130590733,1.480538230300527,0.6797900504486644
40307,0.20377031941860282,0.313554719456969,-0.42399306109713314
7012,-0.9829860163756933,-0.9790415998454438,-1.4974775716665931
34846,-0.5501197048678884,-0.6602822149391017,0.35920038425210865
4681,-1.0306883351420044,-0.48717065632824214,0.8844325564843746
6713,-1.1760514821933967,-0.8615328435452244,-0.715638253735288
5697,0.19055548786847631,-0.3194617991564727,0.14389412480014463
46849,-0.2004101382364886,0.10757672709164245,-0.3463000004930047
8568,1.2416180655504965,1.0413436258144582,0.6108988180611253
5052,-0.5146652787577919,-0.6539790632601626,-0.6535176584374339
24686,-0.3589881168380083,-0.19429921581754234,-0.5941053179754535
9932,1.8166243944633225,1.1475967541165721,0.9853150491206726
29928,-0.7177224464792499,-0.2339190263708728,-0.32226423882462535
7568,-0.8379451822889379,-0.8230385957917041,-1.3087460627916407
17490,-0.7425405447563171,-0.9040791173780628,-0.9988201500113378
33029,0.03068825740840791,0.654150022679636,0.12866019134835516
45431,-1.5828104435655865,-1.3047794741106111,-1.6758838589797767
41776,-0.6545491054103517,-0.602203174468878,-0.7053130321735195
18262,2.028706325194623,2.5847153369146576,0.8366995650020997
27290,-0.885647501055249,-0.30482948275893634,-0.8156744167353752
15011,0.10449792631033429,-0.14454934006591671,-0.476465498542187
13522,-0.5849295050487092,-0.49009711960774943,-0.005229157100153563
38043,0.2511503252202762,-0.17403908542095267,-0.5445104012935152
30046,-2.09980043884371,-1.6957999907647896,-1.556382114346847
10127,-0.38735165772608476,-0.17133773470140728,-0.48645218824947156
6632,-0.060203998619291904,-0.3106824093179509,-0.8637459400721339
501,0.1434977950314399,0.18906747379792432,0.7332780834571705
34400,-0.5314255529189285,-0.35142778267109215,-0.09409376890226115
12711,-0.9755728181890372,-1.1138840232627456,-1.102410897483509
42369,0.07581207245762088,-0.17066239702152095,-0.18008085994125309
844,-0.7831519783006083,-1.0276659127972585,-0.8865968402498191
31016,-0.5697807957107592,-0.46961187665119786,0.23952937369193672
19812,-0.7048299278937603,-0.6589315395793289,-0.7056515640280039
23476,0.6591985384510146,0.5564511716560819,1.0855204780480008
6893,2.1276564053382536,1.751123527374978,0.7312468923302651
39236,1.1104366889431425,1.138142026598164,1.1901268210836247
1304,-0.7103092482925938,-0.20870641965511683,-0.8926904136305348
17695,-0.24617857921497635,-0.5321931683206633,-0.5971521046658111
17545,-0.11080713406733837,-0.6699620550174724,-1.0313192080418225
2014,-0.2110464660695177,-0.23729571477030453,0.4561897605618373
43309,0.30175346066832176,-0.0945743517543292,-0.21054872684483303
18345,-0.6574499220920869,-0.5821681566322509,-1.2552580297831342
42034,-1.284348638311508,-1.2284663162834575,-1.4279092755700857
16793,-0.5755824290742296,-0.3534537957107512,-0.7731886689976053
40851,-0.14497230831888436,-0.4108574985010878,-0.5301227974779361
656,-1.1209359652404296,-1.000877518161768,-1.0066063826644749
34850,-0.1991208863779399,-0.7226383940486053,-1.18433560626869
18233,0.6488845235826233,0.05445016294058511,-0.6535176584374339
42451,1.592939197005082,1.960253095579775,0.4020246638443619
1970,-0.8621186546367304,-0.1535538424644011,1.9555473440724453
49756,-0.9752505052244003,-0.8192116822723485,-0.9881563965950849
8702,0.6160086011896251,0.29712150257973546,0.08989829400991169
13206,0.24502637889216883,-0.19407410325757982,0.6821597734300536
19314,-1.8538756468255002,-1.3158099895487547,-1.1293241799150044
5748,-0.4908141193746372,-0.39172293090430893,-0.4712182547976816
38780,-0.589441886553631,-0.15287850478451476,0.2776142073214114
